text,label
"Aviato's customer success team has been really unhelpful in getting us set up and running, it's like they're not invested in our success.",complaint
"I've been using BloomCRM for a while, but I'm not sure how to use the reporting feature, can someone help me?",other
"I've been trying to get in touch with someone at Aviato about a strategic partnership, but no one seems to be responding.",complaint
The ability to set reminders in Tracksy would be incredibly helpful for our team,feature_request
"I've been using Tracksy for a while now, but the constant changes to the UI are making it hard for me to navigate.",complaint
Can you provide more information about the data encryption methods used by Aviato to secure user data?,other
"I've updated my payment method in Tracksy, but I'm still being charged to my old card, can you please fix this?",billing
"I'm starting to think that BloomCRM is just a waste of money, it's not delivering on any of its promises.",complaint
"UI issue in Aviato, the sidebar is overlapping with the main content area, making it hard to navigate.",technical_issue
"I'm interested in learning more about the security measures in place for BloomCRM, can you provide some more information?",other
"I'm getting a 'Failed to Sync' error when trying to connect my Tracksy account to BloomCRM, can you help me resolve this issue?",technical_issue
"I want to switch my payment method for Aviato from credit card to bank transfer, can I do this?",billing
"I'm being charged a currency conversion fee for my Tracksy subscription, can I pay in my local currency instead?",billing
I think it would be great if BloomCRM had a feature to automatically sync contacts with my email account.,feature_request
"I'm trying to invite a new user to our Tracksy account but I'm getting an error, can you help me troubleshoot?",other
I'm trying to decide between Aviato and a competitor - can you provide some comparison information to help me make a decision?,other
"It would be amazing if BloomCRM integrated with our existing email marketing tool, Mailchimp.",feature_request
"I'm trying to reactivate my cancelled subscription to Tracksy, but I'm being asked to pay a setup fee, is this correct?",billing
"It would be great if Tracksy integrated with Google Calendar, that way I could schedule meetings directly from the app.",feature_request
"I'm getting a 'Connection Refused' error when trying to connect to the Aviato API, can you check if there's an issue with the servers?",technical_issue
"The onboarding process for new team members on our Aviato account has been a joke, it's like you expect us to already know everything.",complaint
"The Aviato workflow editor is not saving my changes, it just reverts back to the previous version when I click save.",technical_issue
"The Tracksy dashboard is slow to load, it's taking over a minute to display my data.",technical_issue
"How do I get started with using Tracksy, is there a setup guide or tutorial available?",other
"It's crucial for our workflow to have a 'task dependency' feature in Tracksy, can you consider adding this?",feature_request
"I need to add another user to my Tracksy account, but I'm not sure how the pricing will work, can you please advise?",billing
"It would be awesome if Tracksy had a native integration with Google Drive, can you make that happen?",feature_request
"I'm having trouble with the Aviato calendar integration, it's not syncing with my Google Calendar.",technical_issue
I think BloomCRM should have a built-in survey tool for collecting customer feedback and Net Promoter Score.,feature_request
"The Tracksy task assignments are not updating in real-time, there's a delay of several minutes.",technical_issue
Can you please add a feature to BloomCRM that allows us to send automated follow-up emails to clients?,feature_request
"I'm having trouble with the BloomCRM API, it's returning a '401 Unauthorized' error, even though I've checked my API keys.",technical_issue
"The UI for the Aviato reporting tool is not loading, I just get a blank page with a loading animation that never stops.",technical_issue
"I'm disappointed in the lack of innovation from BloomCRM, it's like you're just playing catch-up with the competition.",complaint
"I'm being charged for a feature I don't use, can I get a refund or switch to a different plan with Aviato?",billing
"The invoice for Aviato is incorrect, it's showing the wrong plan and price.",billing
"I'm having trouble with the Tracksy API, it's not returning the expected data and I'm getting a 'Invalid Request' error.",technical_issue
"I'd like to request a demo of the Aviato premium features, can that be arranged?",other
"I don't understand why Aviato can't seem to get the reporting feature right, it's been a year and it still doesn't work as expected.",complaint
"Aviato's date picker is not working, it's not allowing me to select a date.",technical_issue
"I'd like to know more about integrating BloomCRM with our existing Tracksy system, is this possible?",other
"I'm getting a 'timeout error' when trying to access the Aviato analytics page, can you increase the timeout limit or help me troubleshoot?",technical_issue
"I'm being charged for a feature I don't use in Aviato, can I get a customized pricing plan?",billing
"I have a question about the invoice for my BloomCRM subscription, can you please clarify the charges for me?",billing
"I'm starting to feel like I've made a huge mistake by investing in Tracksy, the returns just aren't there.",complaint
"I don't understand why Aviato can't seem to get the basics right, it's like you're trying to overcomplicate things.",complaint
"I'm not sure what's going on with your team, but the support for BloomCRM has been subpar at best.",complaint
"I want to upgrade my plan in Tracksy, but I don't want to be charged a pro-rated fee, can I do this?",billing
I'm getting a '504 Gateway Timeout' error when trying to access the Aviato dashboard.,technical_issue
"I think it would be amazing if Aviato integrated with Google Calendar, that would make scheduling meetings so much easier.",feature_request
"I'm getting a 'database connection error' when trying to access the BloomCRM reports, can you please fix this?",technical_issue
I'd like to request some information about the upcoming features and roadmap for Tracksy - are there any exciting developments on the horizon?,other
I'd love to get some feedback from your team on how we can use Aviato to streamline our workflow - can someone review our current process and provide suggestions?,other
